0, 0, 0, 0, 0
0.1, 0.1, 0.1, 0.1, 0.1
0.2, 0.2, 0.1, 0.1, 0.1
0.3, 0.3, 0.1, 0.1, 0.1
0.4, 0.4, 0.1, 0.1, 0.1
0.5, 0.5, 0.1, 0.1, 0.1
0.6, 0.6, 0.1, 0.1, 0.1
0.7, 0.7, 0.1, 0.1, 0.1
0.8, 0.8, 0.1, 0.1, 0.1
0.9, 0.9, 0.1, 0.1, 0.1
1, 1, 1, 1, 1
1, 1, 1, 1, 0
1, 1, 1, 0, 1
1, 1, 0, 1, 1
1, 0, 1, 1, 1
1, 1, 1, 1, 0.9
1, 1, 1, 1, 0.87
1, 0.9, 1, 1, 0.86
0.01, 0.32, 0.03, 0.37, 0.60
0.02, 0.27, 0.03, 0.31, 0.58
0.03, 0.39, 0.12, 0.43, 0.62
0.05, 0.45, 0.14, 0.52, 0.64
0.05, 0.17, 0, 0.19, 0.55
0.06, 0.54, 0.22, 0.61, 0.68
0.07, 0.35, 0.07, 0.40, 0.61
0.08, 0.56, 0.24, 0.64, 0.69
0.085, 0.23, 0, 0.28, 0.57
0.09, 0.23, 0.010, 0.26, 0.57
0.10, 0.15, 0, 0.18, 0.54
0.12, 0.37, 0.08, 0.44, 0.62
0.13, 0.39, 0.12, 0.46, 0.62
0.1488, 0.47655612, 0.150132987, 0.570713952, 0.65
0.1542, 0.49746072, 0.194711697, 0.574161573, 0.66
0.1612, 0.68250316, 0.365055658, 0.741629435, 0.73
0.2042, 0.36785305, 0.085774617, 0.427820242, 0.61
0.2097, 0.606493, 0.288297504, 0.676400323, 0.70
0.2172, 0.45604098, 0.172397664, 0.518777984, 0.65
0.2354, 0.36610186, 0.108197005, 0.413472823, 0.6193079
0.2686, 0.63386476, 0.299643515, 0.748772056, 0.71853244
0.2727, 0.3185668, 0.081542059, 0.365219274, 0.6032015
0.2896, 0.510023, 0.192579096, 0.582088468, 0.6703631
0.3279, 0.60295606, 0.267969717, 0.699631734, 0.7060106
0.3689, 0.41259164, 0.109152876, 0.492410161, 0.63537633
0.3893, 0.5055049, 0.187959213, 0.596772056, 0.6686938
0.3914, 0.7682527, 0.448113205, 0.883065, 0.77887356
0.4385, 0.50148624, 0.184908801, 0.587238306, 0.66
0.4897, 0.638514, 0.30440034, 0.74012996, 0.72
0.5145, 0.42692173, 0.12272387, 0.494913161, 0.640
0.5348, 0.4970115, 0.178790767, 0.57050371, 0.66
0.5574, 0.49160564, 0.161891002, 0.593891371, 0.66
0.59, 0.80012435, 0.492885241, 0.91478379, 0.79
0.61, 0.75, 0.43, 0.86, 0.77
0.62, 0.71, 0.39, 0.81, 0.75
0.66, 0.5 0.24, 0.66, 0.69
0.76, 0.65, 0.32, 0.75, 0.72
0.78, 0.57, 0.23, 0.66, 0.69
0.81, 0.65, 0.31, 0.75, 0.72
0.87, 0.75, 0.41, 0.87, 0.77
0.9, 0.86, 0.58, 0.99, 0.83
