nursing home-continent, 0.0169, 0.32031077, 0.03137214, 0.372901411, 0.6037873
political boundary-women's clothes shop, 0.0208, 0.27460915, 0.039621658, 0.316204008, 0.5885485
greengrocer-aqueduct, 0.031, 0.39055544, 0.126022827, 0.439786613, 0.627717
interior decoration shop-tomb, 0.0504, 0.4502865, 0.147840037, 0.524409879, 0.6486782
water ski facility-office furniture shop, 0.0517, 0.1737156, 0, 0.199866081, 0.5555774
community centre-stream, 0.0579, 0.5444251, 0.226826576, 0.615341492, 0.68325216
city suburb-antiques furniture shop, 0.0717, 0.354224, 0.07525298, 0.407650806, 0.615255
vending machine-gate, 0.0806, 0.56329983, 0.248484632, 0.646010121, 0.69046843
fashion shop-swimming spot, 0.0847, 0.2397745, 0, 0.281016694, 0.5770735
beauty parlour-fire station, 0.0943, 0.23331285, 0.010722184, 0.266891879, 0.57495666
football pitch-corporate office, 0.1086, 0.15228865, 0, 0.180710794, 0.54866433
panoramic viewpoint-race track, 0.124, 0.37708688, 0.08503027, 0.44542054, 0.6230742
bed and breakfast-school building, 0.1393, 0.39434174, 0.120354978, 0.460007702, 0.62902737
shelter-agricultural field, 0.1488, 0.47655612, 0.150132987, 0.570713952, 0.65811515
ambulance station-city, 0.1542, 0.49746072, 0.194711697, 0.574161573, 0.6657342
arts centre-bureau de change, 0.1612, 0.68250316, 0.365055658, 0.741629435, 0.7391087
supermarket-surveillance camera, 0.2042, 0.36785305, 0.085774617, 0.427820242, 0.6199071
post box-town, 0.2097, 0.606493, 0.288297504, 0.676400323, 0.70742416
school-toy shop, 0.2172, 0.45604098, 0.172397664, 0.518777984, 0.650733
canoe spot-hunting shop, 0.2354, 0.36610186, 0.108197005, 0.413472823, 0.6193079
office building-academic bookstore, 0.2686, 0.63386476, 0.299643515, 0.748772056, 0.71853244
car store-cycling facility, 0.2727, 0.3185668, 0.081542059, 0.365219274, 0.6032015
heritage item-valley, 0.2896, 0.510023, 0.192579096, 0.582088468, 0.6703631
city-railway station, 0.3279, 0.60295606, 0.267969717, 0.699631734, 0.7060106
picnic site-stream, 0.3689, 0.41259164, 0.109152876, 0.492410161, 0.63537633
speed bump-car park, 0.3893, 0.5055049, 0.187959213, 0.596772056, 0.6686938
sea-island, 0.3914, 0.7682527, 0.448113205, 0.883065, 0.77887356
managed forest-significant tree, 0.3992, 0.67646885, 0.346067826, 0.781725403, 0.73649067
swimming pool-water reservoir, 0.4174, 0.66859925, 0.338594734, 0.775972661, 0.7331058
industrial landuse-landfill, 0.4385, 0.50148624, 0.184908801, 0.587238306, 0.6672132
mountain hut-hilltop, 0.4897, 0.638514, 0.30440034, 0.74012996, 0.7204506
barracks-shooting range, 0.5145, 0.42692173, 0.12272387, 0.494913161, 0.640402
church-historic ruins, 0.5348, 0.4970115, 0.178790767, 0.57050371, 0.6655693
glacier-body of water, 0.5574, 0.49160564, 0.161891002, 0.593891371, 0.66358984
canal-dock, 0.5943, 0.80012435, 0.492885241, 0.91478379, 0.7952332
police station-prison, 0.6107, 0.5606062, 0.231988806, 0.641076653, 0.68943185
tower-lighthouse, 0.6168, 0.7528374, 0.435529432, 0.867658427, 0.77131534
administrative office-town hall, 0.6209, 0.7130804, 0.391272883, 0.8146575, 0.75270057
historic castle-city walls, 0.6446, 0.53215224, 0.218147921, 0.614281613, 0.67861664
restaurant-beverages shop, 0.6496, 0.66463864, 0.34403046, 0.749484879, 0.7314145
historic battlefield-monument, 0.668, 0.5744902, 0.244679403, 0.66432996, 0.69479966
art shop-art gallery, 0.748, 0.9202889, 0.676992705, 1.05287379, 0.8720464
bay-body of water, 0.7623, 0.7042038, 0.37571257, 0.826261532, 0.74869585
stadium-athletics track, 0.7643, 0.6307181, 0.319597267, 0.709628992, 0.7172396
tram way-subway, 0.7643, 0.72597104, 0.390334013, 0.848184597, 0.7586094
floodplain-wetland, 0.7686, 0.6580319, 0.323468291, 0.751017863, 0.7286108
basketball court-volleyball facility, 0.7807, 0.5721829, 0.236716419, 0.665861694, 0.69390327
public transport station-railway platform, 0.8115, 0.6507445, 0.311473019, 0.750181935, 0.72554314
theatre-cinema, 0.873, 0.7508862, 0.41636489, 0.875741694, 0.77037334
motel-hotel, 0.9037, 0.8663053, 0.58192553, 0.999707419, 0.8335116
