0.94, 0.647, 0.8, 0.97, 0.69
0.92, 0.662, 0.800057703, 0.978, 0.875135806
0.892857143, 1, 1, 1, 0.753375757
0.87244898, 1, 1, 1, 0.821356511
0.793367347, 0.06, 0.399884593, 0.238, 0.188266336
0.785714286, 0.088, 0.399884593, 0.119, 0.054244917
0.778061224, 0.159, 0.800057703, 0.693, 0.464069533
0.757653061, 0.139, 0.59982689, 0.658, 0.464069533
0.75255102, 0.546, 0.800057703, 0.935, 0.465466398
0.719387755, 0.294, 0.800057703, 0.897, 0.813984169
0.423469388, 0.071, 0.535487594, 0.273, 0.19051684
0.428571429, 0.086, 0.535487594, 0.394, 0.267189198
0.295918367, 0.075, 0.238603578, 0, 0
0.280612245, 0.058, 0.399884593, 0.233, 0.19051684
0.242346939, 0.049, 0.335545297, 0.067, 0.054244917
0.227040816, 0.063, 0.238603578, 0.086, 0.054244917
0.221938776, 0.148, 0.535487594, 0.689, 0.494955766
0.214285714, 0.05, 0.335545297, 0.067, 0.054244917
0.160714286, 0.056, 0.482977496, 0.124, 0.09180506
0.140306122, 0.063, 0.535487594, 0.247, 0.19051684
0.107142857, 0.055, 0.438545874, 0.121, 0.09180506
0.107142857, 0.068, 0.535487594, 0.265, 0.19051684
1, 1, 1, 1, 1
1, 0.1, 0.9, 0.9, 0.9
1, 0.2, 0.8, 0.8, 0.8
1, 1, 1, 1, 0.9
1, 1, 1, 0.9, 1
1, 1, 0.9, 1, 1
1, 0.9, 1, 1, 1
1, 1, 1, 1, 0.95
1, 1, 1, 0.95, 1
1, 1, 0.95, 1, 1
1, 0.95, 1, 1, 1
0.1, 0.1, 0.1, 0.1, 0.1
0.3, 0.3, 0.3, 0.3, 0.3
0.5, 0.5, 0.5, 0.5, 0.5
0, 0, 0, 0, 0.01
0, 0, 0, 0, 0.05
0, 0, 0, 0.05, 0
0, 0, 0.05, 0, 0
0, 0.05, 0, 0, 0
0, 0, 0, 0, 0.1
0, 0, 0, 0.1, 0
0, 0, 0.1, 0, 0
0, 0.1, 0, 0, 0
